idcontrato,tipoContrato,tipoFimContrato,CPV,adjudicante,adjudicatarios,concorrentes,precoBaseProcedimento,precoContratual,PrecoTotalEfetivo,dataDecisaoAdjudicacao,dataCelebracaoContrato,dataPublicacao,dataFechoContrato,nr_concorrentes,city,cpv_prefix,agg_cpv,contribuinte_adjudicante,contribuinte_adjudicatarios,adjudicante_clean,adjudicatarios_clean
9664960,Aquisição de bens móveis,Anulado ou Declarado Nulo,30213100-6 - Computadores portáteis,Universidade do Algarve,"Empis - Informática e Serviços, Lda","501333401-BASE2 - Informática e Telecomunicações, Lda. | 502163518-Empis - Informática e Serviços, Lda | 503536717-Visualforma - Tecnologias de Informação, S.A. | 503258121-EDNI - EMPRESA DISTRIBUIDORA DE MATERIAL INFORMÁTICO LDA | 513960937-Páginas aos Blocos, Lda. | 509117660-Exitus, Soluções Tecnológicas, Lda. | 508370787-WALLFUTURE lda. | 506324729-PSC - Paulo S. Conde, Lda | 510580262-Estrelabinária Lda | 504100327-PRN Informática, Lda. | 504904493-RIS 2048 - SISTEMAS INFORMÁTICOS E COMUNICAÇÕES, SA | 513154990-ConfigBit - Soluções Tecnologicas, Lda | 510233309-Linkbild - Tecnologia &amp; Marketing, Lda | 516165887-CTT SOLUÇÕES EMPRESARIAIS, S.A. | 503688827-REINO INFORMÁTICO, Lda.",320620.41,3260.0,0.0,2022-12-12,2023-01-02,2023-01-02,2023-12-31,15,Faro,30,Máquinas e equipamentos,505387271,502163518,universidade do algarve,empis informatica e servicos
9668634,Aquisição de bens móveis,Resolução do Contrato,09134100-8 - Gasóleo,Município de Góis,Alves Bandeira SA,500433402-Alves Bandeira SA,374112.0,327326.4,343994.23,2022-12-07,2023-01-02,2023-01-03,2026-01-16,1,Góis,09,Energia e combustíveis,506613399,500433402,municipio de gois,alves bandeira
9664045,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",15811000-6 - Produtos de panificação,Serviços de Ação Social da Universidade do Minho,Padaria Trinas lda,500209634-Padaria Trinas lda,85424.72,84659.05,84659.05,2022-12-27,2023-01-01,2023-01-02,2023-08-22,1,Braga,15,Alimentação e bebidas,680047360,500209634,servicos de acao social da universidade do minho,padaria trinas
9458872,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45112700-2 - Trabalhos de paisagismo,Município de Barcelos,"M. Couto Alves, S.A.","500553408-ALEXANDRE BARBOSA BORGES, S.A. | 500968764-Martins &amp; Filhos, S.A. | 500072868-CONSTRUÇÕES GABRIEL A.S. COUTO,S.A. | 500838909-Camacho Engenharia, SA | 501347313-IRMÃOS MOREIRAS, S.A. | 501484523-CONSTRUÇÕES F. M. MAGALHÃES, LDA | 507511123-ATLÂNTINÍVEL - CONSTRUÇÃO CIVIL LDA | 514492988-MWT Metalworking, Techologies, Lda | 504213709-M. COUTO ALVES SA | 501489126-Domingos da Silva Teixeira SA | 513440569-REMATE PARCELA | 506442179-João Matos &amp; Ribeiro 2 - Obras Públicas e Engenharia Lda | 506661393-Construções Refoiense, Lda",3615610.0,3519310.8,3429226.77,2022-05-09,2023-03-16,2022-09-20,2025-10-10,13,Barcelos,45,Construção,505584760,504213709,municipio de barcelos,m couto alves
9674355,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45453100-8 - Obras de recuperação,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.",Metangular Construções Lda.,"509944647-Construbuild - Services, Limitada | 507695763-Delsiplano, Lda. | 510826768-Metangular Construções Lda. | 514901829-Paralelo Exemplar, Lda. | 516024400-REFERÊNCIA IMBATIVEL, Unipessoal Lda, | 513888756-POTENCIAL ABCISSA – CONSTRUÇÕES UNIPESSOAL, LDA. | 504789112-SANTOS &amp; CIPRIANO - CONSTRUÇÕES CIVIS E OBRAS PÚBLICAS LDA | 510065775-IZUMIX Unipessoal Lda | 504338854-PERENE, S.A | 510813135-Autentifuturo - Restauros, Unipessoal Lda | 514461446-C2 DL Lda | 513858067-CIPRIBEL – Construções, Lda | 510819826-CRVM, Engenharia e Construção Unipessoal, Lda.,",362000.0,57393.03,57393.03,2022-12-09,2023-01-03,2023-01-04,2023-06-29,13,Lisboa,45,Construção,503541567,510826768,gebalis gestao do arrendamento da habitacao municipal de lisboa e m,metangular construcoes
9674848,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",39298700-4 - Troféus,Município de Vila Nova de Famalicão,"Gravymedal, Comércio e Personalização de Prémios Lda","510128211-Ana Maria Araújo Oliveira e Silva, Unipessoal, Lda. | 507232283-Gravymedal, Comércio e Personalização de Prémios Lda",40000.0,1150.0,1150.0,2022-12-07,2023-01-04,2023-01-04,2023-04-19,2,Vila Nova de Famalicão,39,Mobiliário e limpeza,506663264,507232283,municipio de vila nova de famalicao,gravymedal comercio e personalizacao de premios
9676561,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",44164000-7 - Tubagem de revestimento e tubos,SIMAR – Serviços Intermunicipalizados de Loures e Odivelas,"HUMBERTO POÇAS, S.A.",,72500.0,519.0,519.0,2022-12-19,2023-01-04,2023-01-05,2023-10-04,0,Loures,44,Construção,680009671,501075666,simar servicos intermunicipalizados de loures e odivelas,humberto pocas
9668212,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",15111000-9 - Carne de bovino,Serviços de Ação Social da Universidade do Minho,"Carnes S. José - Comércio e Indústria de Carnes, Lda.","509061800-Consumintenso - Produtos Alimentares Lda | 502388803-Vanibru - Comércio de Produtos Alimentares, Lda. | 500271518-Sogenave - Sociedade Geral de Abastecimentos à Navegação e Indústria Hoteleira, SA | 502691000-Macro-Frio - Comércio Internacional de Produtos Alimentares, S.A. | 501235574-Carnes S. José - Comércio e Indústria de Carnes, Lda.",92435.5,55952.5,47148.2,2022-12-27,2023-01-01,2023-01-03,2023-07-21,5,Braga,15,Alimentação e bebidas,680047360,501235574,servicos de acao social da universidade do minho,carnes s jose comercio e industria de carnes
9677208,Aquisição de bens móveis | Aquisição de serviços,Revogação do Contrato,"15894200-3 - Refeições preparadas
55322000-3 - Serviços de confecção de refeições","A. R. M. - Águas e Resíduos da Madeira, S. A.","Gertal-Companhia Geral de Restaurantes e Alimentação, S.A.",500126623-GERTAL - Companhia Geral de Restaurantes e Alimentação S.A. | 501323325-UNISELF SA,174300.0,174281.4,70001.12,2022-12-15,2023-01-04,2023-01-05,2023-11-01,2,Santa Cruz,15,Alimentação e bebidas,509574513,500126623,a r m aguas e residuos da madeira,gertal companhia geral de restaurantes e alimentacao
9668443,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil","15100000-9 - Produtos de origem animal, carne e produtos à base de carne",Município de Vila Pouca de Aguiar,"MESTRE ALIMENTAR - COMERCIALIZAÇÃO DE PRODUTOS ALIMENTARES, LDA.","501334521-Silva &amp; Carlos, Lda. | 516396293-Ricardo Mourão, Unipessoal, Lda. | 502210630-Distribui Comércio Distribuição Produtos Alimentares, Lda. | 502916974-MESTRE ALIMENTAR - COMERCIALIZAÇÃO DE PRODUTOS ALIMENTARES, LIMITADA",100750.0,49550.0,31504.56,2022-12-29,2023-01-03,2023-01-03,2023-12-28,4,Vila Pouca de Aguiar,15,Alimentação e bebidas,506810267,502916974,municipio de vila pouca de aguiar,mestre alimentar comercializacao de produtos alimentares
