idcontrato,tipoContrato,tipoFimContrato,CPV,adjudicante,adjudicatarios,concorrentes,precoBaseProcedimento,precoContratual,PrecoTotalEfetivo,dataDecisaoAdjudicacao,dataCelebracaoContrato,dataPublicacao,dataFechoContrato,nr_concorrentes,contribuinte_adjudicante,contribuinte_adjudicatarios,city,cpv_prefix,agg_cpv
11124346,Aquisição de serviços,,90420000-7 - Serviços de tratamento de águas residuais,"Tratolixo - Tratamento de Residuos Sólidos, E. I. M. - Empresa Intermunicipal, S. A.",Carmona,"516510657-Lucena &amp; Lucena, Lda | 501741380-Carmona",549920.0,549920.0,0.0,2024-11-15,2025-01-02,2025-01-02,,2,502444010,501741380,Mafra,90,Ambiente e resíduos
11123851,Aquisição de serviços,,85111900-9 - Serviços de diálise hospitalar,"Unidade Local de Saúde de Lisboa Ocidental, E. P. E.","Fresenius Medical Care Portugal, SA",,310000.0,300000.0,0.0,2024-11-21,2025-01-02,2025-01-02,,0,507618319,503070220,Oeiras,85,Saúde e ação social
11124453,Aquisição de serviços,,66510000-8 - Serviços de seguros,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,"JOÃO MATA Lda.Willis - Corretores de Seguros, S.A.","500188629-Willis - Corretores de Seguros, S.A. | 980551188-HOWDEN IBERIA, S.A. - SUCURSAL PORTUGAL | 500150141-João Mata Lda. | 501689168-LUSITANIA-COMPANHIA DE SEGUROS, S.A.",160000.0,152405.91,0.0,2024-12-13,2025-01-02,2025-01-02,,4,504300156,500150141,Lisboa,66,Finanças e seguros
11126382,Aquisição de serviços,,72253100-4 - Serviços de help-desk,"EPAL - Empresa Portuguesa das Águas Livres, S. A.","Alpibre, Lda","507902238-Shore Spun, Lda, | 515931217-Alpibre, Lda. | 515777048-Ignit People S.A. | 508535166-Real Life – Tecnologias de Informação, S.A | 504642251-MATCH PROFILER LDA | 504615947-1 - MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, S.A. | 508991579-SOLIDNETWORKS BUSINESS CONSULTING, LDA | 502604751-NOS | 504136992-Synchro ¿ Serviços em Outsourcing Lda | 516541307-Idoneos, Lda.",535000.0,214576.56,0.0,2024-04-24,2025-01-02,2025-01-03,,10,500906840,515931217,Lisboa,72,TI e consultoria
11127239,Aquisição de serviços,,72268000-1 - Serviços de fornecimento de software,"Cascais Próxima - Gestão de Mobilidade, Espaços Urbanos e Energias, E. M., S. A.","ACIN - iCloud Solutions, Lda","511135610-ACIN - iCloud Solutions, Lda",74520.0,74019.96,0.0,2024-12-05,2025-01-02,2025-01-03,,1,504853635,511135610,Cascais,72,TI e consultoria
11130686,Aquisição de bens móveis,,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais","Unidade Local de Saúde de Lisboa Ocidental, E. P. E.","MEDICINÁLIA CORMÉDICA - MCMEDICAL, LIMITADA",,50000.0,43455.0,0.0,2024-12-27,2025-01-03,2025-01-06,,0,507618319,500684324,Lisboa,33,Equipamento médico e farmacêutico
11130705,Aquisição de serviços,,50730000-1 - Serviços de reparação e manutenção de grupos de refrigeração,"Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos","Desafios de Vanguarda - Unipessoal, Lda.","510569170-Desafios de Vanguarda - Unipessoal, Lda. | 516836498-WIKISERVICE, LDA. | 507398009-CLEAN BREEZE - ENGENHARIA E SERVIÇOS, LDA. | 501237445-Omninstal - Electricidade, S.A. | 508622069-OPENLINE FACILITY SERVICES, S.A | 513246002-RIOBOCO-Serv.Gerais.Eng.Manutenção",65400.0,44736.0,0.0,2024-12-03,2025-01-03,2025-01-06,,6,600084973,510569170,Lisboa,50,Reparação e manutenção
11131283,Aquisição de bens móveis | Aquisição de serviços,,35120000-1 - Sistemas e dispositivos de vigilância e segurança,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E. M., S. A.","ENA PORTUGAL-SISTEMAS DE TELECOMUNICAÇÕES, SA","501290567-Prosegur Activa Portugal, Unipessoal, Lda | 501344608-MICOTEC - Electronica, lda | 510652581-Powershield Segurança Privada SA | 505294869-EULEN PORTUGAL SEGURANÇA, S.A. | 507011724-Ronsegur, Rondas e Segurança, Lda | 506370836-Soltráfego, S.A. | 504903098-GAT - COMERCIALIZAÇÃO DE SISTEMAS DE PROTECÇÃO ELECTRÓN | 503577600-ENA Portugal - Sistemas de Telecomunicações, S.A. | 503257567-STRONG CHARON, SOLUÇÕES DE SEGURANÇA, S.A.",353109.28,207124.4,0.0,2024-11-26,2025-01-02,2025-01-06,,9,503311332,503577600,Lisboa,35,Segurança e defesa
11132143,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",44613800-8 - Contentores para resíduos,Município de Alenquer,"Sopinal - Indústria de Equipamentos e Contentores, S.A.","500276218-SOPINAL, L.da | 500231206-Resopre - Soluções Urbanas,SA | 515980196-WASTE TO ME, UNIPESSOAL, LDA.",39714.7,26308.5,26308.5,2024-12-13,2025-01-03,2025-01-06,2025-09-23,3,501305734,500276218,Alenquer,44,Materiais de construção
11133293,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",63510000-7 - Serviços de agências de viagens e serviços similares,"Instituto da Mobilidade e dos Transportes, IP","DOT Viagens e Turismo, Lda.","500886113-Raso - Viagens e Turismo, S.A. | 506019608-SMILE - VIAGENS E TURISMO, UNIPESSOAL, LDA | 514862645-DOT Viagens e Turismo, Lda. | 501418180-Transalpino - Viagens e Turismo, Lda. | 501313915-Travel Quality",67180.0,67180.0,65980.96,2024-12-23,2025-01-02,2025-01-06,2026-01-27,5,508195446,514862645,Lisboa,63,Serviços auxiliares de transporte
